[02Apr2025 12:19:23.729] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeclientuserdev, --version, MOD_DEV, --assetIndex, 1.19, --assetsDir, C:\Users\dan-c\.gradle\caches\forge_gradle\assets, --gameDir, ., --fml.forgeVersion, 45.4.0, --fml.mcVersion, 1.19.4, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230314.122934]
[02Apr2025 12:19:23.739] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.13 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[02Apr2025 12:19:23.977] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/dan-c/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23126!/ Service=ModLauncher Env=CLIENT
[02Apr2025 12:19:24.466] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\dan-c\.gradle\caches\modules-2\files-2.1\net.minecraftforge\javafmllanguage\1.19.4-45.4.0\3b75f0094ceb2a9df941e18cac3f939396f868f8\javafmllanguage-1.19.4-45.4.0.jar is missing mods.toml file
[02Apr2025 12:19:24.474] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\dan-c\.gradle\caches\modules-2\files-2.1\net.minecraftforge\lowcodelanguage\1.19.4-45.4.0\fb51777ce6e1781e684806aeaa4d65db34c1be98\lowcodelanguage-1.19.4-45.4.0.jar is missing mods.toml file
[02Apr2025 12:19:24.480] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\dan-c\.gradle\caches\modules-2\files-2.1\net.minecraftforge\mclanguage\1.19.4-45.4.0\7a2240e5db30b6d03a0ace67f747ca35a165b866\mclanguage-1.19.4-45.4.0.jar is missing mods.toml file
[02Apr2025 12:19:24.488] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\dan-c\.gradle\caches\modules-2\files-2.1\net.minecraftforge\fmlcore\1.19.4-45.4.0\997debba937ba7ce56e9a04e52804f4a710a79d4\fmlcore-1.19.4-45.4.0.jar is missing mods.toml file
[02Apr2025 12:19:24.566] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[02Apr2025 12:19:26.198] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeclientuserdev' with arguments [--version, MOD_DEV, --gameDir, ., --assetsDir, C:\Users\dan-c\.gradle\caches\forge_gradle\assets, --assetIndex, 1.19]
[02Apr2025 12:19:30.580] [Datafixer Bootstrap/INFO] [com.mojang.datafixers.DataFixerBuilder/]: 180 Datafixer optimizations took 130 milliseconds
[02Apr2025 12:19:32.673] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/dan-c/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.19.4-45.4.0_mapped_parchment_2023.06.26-1.19.4/forge-1.19.4-45.4.0_mapped_parchment_2023.06.26-1.19.4.jar%23188!/assets/.mcassetsroot' uses unexpected schema
[02Apr2025 12:19:32.674] [Render thread/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/dan-c/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.19.4-45.4.0_mapped_parchment_2023.06.26-1.19.4/forge-1.19.4-45.4.0_mapped_parchment_2023.06.26-1.19.4.jar%23188!/data/.mcassetsroot' uses unexpected schema
[02Apr2025 12:19:32.722] [Render thread/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService/]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02Apr2025 12:19:32.734] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Setting user: Dev
[02Apr2025 12:19:32.987] [Render thread/INFO] [net.minecraft.client.Minecraft/]: Backend library: LWJGL version 3.3.1 build 7
[02Apr2025 12:19:33.630] [modloading-worker-0/INFO] [net.beeboyd.beeserverutilities.BeeServerUtilites/]: ServerLoggerConfig reloaded.
[02Apr2025 12:19:33.631] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 45.4.0, for MC 1.19.4 with MCP 20230314.122934
[02Apr2025 12:19:33.631] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v45.4.0 Initialized
[02Apr2025 12:19:34.504] [Render thread/INFO] [net.minecraftforge.gametest.ForgeGameTestHooks/]: Enabled Gametest Namespaces: [beeserverutilities]
[02Apr2025 12:19:34.675] [Render thread/INFO] [net.minecraft.server.packs.resources.ReloadableResourceManager/]: Reloading ResourceManager: vanilla, mod_resources
[02Apr2025 12:19:35.287] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker/]: [forge] Starting version check at https://files.minecraftforge.net/net/minecraftforge/forge/promotions_slim.json
[02Apr2025 12:19:36.035] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker/]: [forge] Found status: UP_TO_DATE Current: 45.4.0 Target: null
[02Apr2025 12:19:37.292] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood.break
[02Apr2025 12:19:37.293] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood.fall
[02Apr2025 12:19:37.293] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood.hit
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood.place
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood.step
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_door.close
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_door.open
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_trapdoor.close
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_trapdoor.open
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_button.click_off
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_button.click_on
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_pressure_plate.click_off
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_pressure_plate.click_on
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_fence_gate.close
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:block.bamboo_wood_fence_gate.open
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:item.brush.brushing
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:item.brush.brush_sand_completed
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:entity.camel.ambient
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:entity.camel.dash
[02Apr2025 12:19:37.294] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:entity.camel.dash_ready
[02Apr2025 12:19:37.295] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:entity.camel.death
[02Apr2025 12:19:37.295] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:entity.camel.eat
[02Apr2025 12:19:37.295] [Render thread/WARN] [net.minecraft.client.sounds.SoundEngine/]: Missing sound for event: minecraft:entity.camel.hurt
